target,title,address,imgUrl,description,latitude,longitude,rating,place_id
coffees,MOON TEA - Milktea & Coffee,94 Nguyễn Công Trứ Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNF61y8_ZydZtNo53hAQxQ_wAW2ygqFg3HYj7If=w153-h92-k-no,,11.9561646,108.4399055,5,ChIJzfqyR-UTcTER9fC-2YXIc5w
coffees,Moon Coffee Dalat,Phường 11 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO5t6tr8TolDxB4VaWPo8hofb7fbqYDty9_FtxN=w80-h106-k-no,,11.938118999999999,108.4835682,4.3,ChIJC793wskTcTERWcu3NR6yT-g
coffees,Coffee 41,41 Đ. Nguyễn Đình Chiểu Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP-pe-I1QUddpbnZ-ZFPTRZM4jYEVWH3eaTg38B=w122-h92-k-no,,11.9508405,108.46112009999999,4.8,ChIJL3-G_H8TcTERjEQ55unuuLE
coffees,Ixora Tea Coffee,Phường 3 Tp. Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMTUFy_zgfwGihebvfYDkG8IsdCinChyvv-d5dO=w80-h107-k-no,,11.928969799999999,108.44823389999999,5,ChIJ-2ImBz8TcTERWBafVxjfklA
coffees,Cà Phê Amelie,18/3 Lê Văn Tám Phường 10 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP5bjP7xOpTTty10B89HFuFv6CzdeReRrpMPVWl=w122-h92-k-no,,11.937337999999999,108.4553797,5,ChIJq0VExc4TcTERAsyOeanTtLg
coffees,TMK Coffee & Breakfast,35 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng 66000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOCQ31vpbawtzd5zkwKSOkew5pL67lvyF6RXCOX=w163-h92-k-no,,11.9446883,108.4394571,5,ChIJm6DGvTATcTERzt65zC2QUE4
coffees,9 Ball Coffee & Beer,WCHQ+GVH Phường 3 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO40QXdZj0fqYfRxZjODcAfMtOVdqYcufBUiWFP=w189-h92-k-no,,11.928802899999999,108.43972029999999,4.2,ChIJ80ormlwTcTERmdT5Izx5dDI
coffees,Home Coffee,4 Cô Giang Phường 9 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP7iyR3hEEkNncOOBx49mZNjwS8j7i0METnWlqg=w80-h142-k-no,,11.948209199999999,108.4570981,3.9,ChIJrTPj9SoTcTEREaOlzim8x6k
coffees,The Married Beans - Coffee Concept,6 Nguyễn Văn Trỗi Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMoqOi14imqpsCKVicM7RBGLOX1s63hndXTZs4N=w122-h92-k-no,,11.944873,108.43581069999999,4.5,ChIJ2xz2BSkTcTERKnyQoeI1rxE
coffees,HOMEY MILKTEA & COFFEE,HOMEY MILK TEA & COFFEE 78 Đường Phù Đổng Thiên Vương Phường 8 Thành phố Đà Lạt Lâm Đồng 66106 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNGflrpBfIBMEBVfyE5mTQgEAGJ6QoGdVyCdIOo=w128-h92-k-no,,11.9607247,108.4426579,4.2,ChIJb4XL3sQScTERFIe_7DbGEXg
